datetime,name,open,high,low,close,volume,oi,symbol
2026-01-06 09:15:00,FINNIFTY,27836.75,27906.05,27797.75,27902.9,0,0,FINNIFTY
2026-01-06 09:16:00,FINNIFTY,27902.3,27932.7,27895.55,27927.25,0,0,FINNIFTY
2026-01-06 09:17:00,FINNIFTY,27925.2,27951.05,27924.0,27941.4,0,0,FINNIFTY
2026-01-06 09:18:00,FINNIFTY,27942.0,27960.2,27942.0,27944.1,0,0,FINNIFTY
2026-01-06 09:19:00,FINNIFTY,27944.3,27947.4,27919.05,27919.05,0,0,FINNIFTY
2026-01-06 09:20:00,FINNIFTY,27922.7,27940.25,27913.35,27939.85,0,0,FINNIFTY
2026-01-06 09:21:00,FINNIFTY,27940.9,27956.5,27939.0,27954.5,0,0,FINNIFTY
2026-01-06 09:22:00,FINNIFTY,27954.55,27962.0,27946.5,27949.05,0,0,FINNIFTY
2026-01-06 09:23:00,FINNIFTY,27951.15,27953.2,27941.65,27948.35,0,0,FINNIFTY
2026-01-06 09:24:00,FINNIFTY,27948.15,27949.3,27938.1,27939.75,0,0,FINNIFTY
2026-01-06 09:25:00,FINNIFTY,27940.65,27946.95,27929.75,27934.0,0,0,FINNIFTY
2026-01-06 09:26:00,FINNIFTY,27934.0,27946.55,27926.75,27943.3,0,0,FINNIFTY
2026-01-06 09:27:00,FINNIFTY,27942.55,27966.9,27939.4,27960.8,0,0,FINNIFTY
2026-01-06 09:28:00,FINNIFTY,27961.45,27970.2,27949.0,27954.3,0,0,FINNIFTY
2026-01-06 09:29:00,FINNIFTY,27952.3,27956.1,27941.9,27949.8,0,0,FINNIFTY
2026-01-06 09:30:00,FINNIFTY,27947.75,27958.85,27941.8,27942.8,0,0,FINNIFTY
2026-01-06 09:31:00,FINNIFTY,27942.05,27956.6,27941.55,27956.05,0,0,FINNIFTY
2026-01-06 09:32:00,FINNIFTY,27952.7,27968.8,27950.9,27963.5,0,0,FINNIFTY
2026-01-06 09:33:00,FINNIFTY,27960.75,27981.8,27960.75,27975.1,0,0,FINNIFTY
2026-01-06 09:34:00,FINNIFTY,27975.6,27989.6,27975.6,27984.85,0,0,FINNIFTY
2026-01-06 09:35:00,FINNIFTY,27985.4,28003.85,27985.4,27995.65,0,0,FINNIFTY
2026-01-06 09:36:00,FINNIFTY,27994.05,27998.25,27982.75,27993.3,0,0,FINNIFTY
2026-01-06 09:37:00,FINNIFTY,27987.9,27993.05,27976.4,27984.35,0,0,FINNIFTY
2026-01-06 09:38:00,FINNIFTY,27983.15,27991.6,27968.35,27969.75,0,0,FINNIFTY
2026-01-06 09:39:00,FINNIFTY,27969.65,27973.4,27959.3,27961.1,0,0,FINNIFTY
2026-01-06 09:40:00,FINNIFTY,27961.5,27972.3,27957.0,27972.3,0,0,FINNIFTY
2026-01-06 09:41:00,FINNIFTY,27972.5,27972.7,27961.25,27962.2,0,0,FINNIFTY
2026-01-06 09:42:00,FINNIFTY,27960.95,27975.3,27960.3,27975.3,0,0,FINNIFTY
2026-01-06 09:43:00,FINNIFTY,27976.5,27982.15,27974.65,27976.7,0,0,FINNIFTY
2026-01-06 09:44:00,FINNIFTY,27975.0,27983.15,27975.0,27982.35,0,0,FINNIFTY
2026-01-06 09:45:00,FINNIFTY,27983.05,28002.75,27980.55,27996.05,0,0,FINNIFTY
2026-01-06 09:46:00,FINNIFTY,27996.55,28008.1,27993.75,28002.15,0,0,FINNIFTY
2026-01-06 09:47:00,FINNIFTY,28000.8,28014.7,28000.6,28011.6,0,0,FINNIFTY
2026-01-06 09:48:00,FINNIFTY,28011.95,28013.25,28004.15,28005.95,0,0,FINNIFTY
2026-01-06 09:49:00,FINNIFTY,28004.55,28016.25,28004.0,28008.4,0,0,FINNIFTY
2026-01-06 09:50:00,FINNIFTY,28008.9,28014.65,28006.15,28014.35,0,0,FINNIFTY
2026-01-06 09:51:00,FINNIFTY,28017.0,28023.65,28011.1,28016.0,0,0,FINNIFTY
2026-01-06 09:52:00,FINNIFTY,28014.7,28019.5,28003.6,28003.6,0,0,FINNIFTY
2026-01-06 09:53:00,FINNIFTY,28003.5,28012.95,28003.25,28005.65,0,0,FINNIFTY
2026-01-06 09:54:00,FINNIFTY,28003.0,28007.1,27992.35,27994.6,0,0,FINNIFTY
2026-01-06 09:55:00,FINNIFTY,27995.1,28001.4,27991.75,27998.3,0,0,FINNIFTY
2026-01-06 09:56:00,FINNIFTY,27998.55,28010.15,27997.3,28010.15,0,0,FINNIFTY
2026-01-06 09:57:00,FINNIFTY,28009.25,28010.0,27992.7,27994.95,0,0,FINNIFTY
2026-01-06 09:58:00,FINNIFTY,27996.5,28008.15,27993.7,28008.15,0,0,FINNIFTY
2026-01-06 09:59:00,FINNIFTY,28007.6,28014.7,28005.15,28010.9,0,0,FINNIFTY
2026-01-06 10:00:00,FINNIFTY,28012.0,28033.8,28012.0,28020.8,0,0,FINNIFTY
2026-01-06 10:01:00,FINNIFTY,28020.45,28024.15,28009.2,28012.55,0,0,FINNIFTY
2026-01-06 10:02:00,FINNIFTY,28010.25,28021.6,28008.75,28021.2,0,0,FINNIFTY
2026-01-06 10:03:00,FINNIFTY,28020.2,28022.65,28014.3,28016.8,0,0,FINNIFTY
2026-01-06 10:04:00,FINNIFTY,28014.55,28019.95,28012.45,28014.4,0,0,FINNIFTY
